eng,rus,example
exertion,усилия,pointless phisical exertion
starve,голодать,we are almost starve to death
plenty,много,she has plenty more ideas
gang,банда,arent they those guys who cant even take a piss without the whole gang there
tightwads,скряга,then dont be such tightwads
nasty,противній,im hungry and in a nasty mood
spare,запасной,We have their spare house key.
errand,командировка,We're not your errand boys.
slander,клевета,you really shouldnt slander ather peoples reputation like that
commotion,волнение,damage caused by civil commotion
turf,газон,they walked across the turf
upstart,віскочка,I will not talk in front of this upstart.
cabinetry,мебель,Looking for someone to work in cabinetry.
launch,запуск,the launch of a new campaign against drinking and driving
gamble,азартная игра,she was fond of gamble/ing on cards and horses
swindler,мошенник,he used his charm to become a small-time swindler
devour,пожирать,he devoured half of his burger in one bite
rig,оснощать,that game was rigged isnt it
abandon,покидать,how could he abandon me and run of like that
@,@,@
conversion,преобразование,the conversion of food into body tissues
sacred,святые,Vacation and time with family is sacred.
reverie,мечтательность,a knock on the door broke her reverie
thrill,дрож,the thrill of jumping out of an airplane
rival,соперник,he has no serious rival for the job
beware,остеригатся,i would beware of vases if i were you
pale,бледный,you as pale as ghost
forbid,запрещать,I forbid you from ever seeing him again.
claw,коготь,The lion's claw was found under the head of a buried man.
intruder,нарушитель,Put a light anywhere where an intruder can enter your home.
dare,осмелится,Tom didn't dare say what he really thought.
rescue,спасать,if you truly want to rescue her your only option is to crash the Nagatomi gang.
@,@,@
exhaust,выхлоп\изматывать,Nobody's perfect and to try to pretend you're perfect is an exhausting fool's errand.
sufficient,достаточно,your presence alone will be sufficient.
efficient,эфективный,thats what they call efficient ruling.
favor,услуга,Real names had been abandoned in favor of pseudonyms.
mighty,могущественно,three mighty industrial countries(powerful)
successor,преемник,I'm actually his successor in this department
stab,заколол,he stubbed one of our youngstars
amend,исправлять,how do you intend to make amends for this?
atone,искупить,he was being helpful to atone for his past mistakes
dice,игральная кость,in the interest of fairness my gang will provide the dice roller
deliberately,умышленно,the fire was started deliberately
@,@,@
disadventege,недостаток,But this procedure has a significant disadvantage - pain.
significant,значительный,But this procedure has a significant disadvantage - pain.
atonement,искупление,she wanted to make atonement for her husband's behavior
wager,пари,I'll wager she makes that trip to Virginia
habor,приютить\гавань,some of these planets may habor life
spite,назло,he'd think I was saying it out of spite
occure,происходить,the accident occure/red at about 3:30 p.m.
terrific,потрясающий,We all thought she was terrific.
scold,ругать,Mom took Anna away scolding her for her bad behavior
witness,свидетель,my name is O rui and i will act as your witness today.
approve,одобрять,I don't approve of the way she pampers my father and brothers
concede,признать,I concede defeat
thug,бандит,he was attacked by a gang of thugs
admire,восхищатся,And each year I admire her more.
encounter,сталкиватся,But you will inevitably encounter difficult people who oppose what you think.
tenacity,упорство,Let me tell you the secret that has led me to my goal. My strength lies solely in my tenacity.
estimate,оценить,I sometimes think that God in creating man somewhat overestimated his ability.
utility,полезность,Nothing can have value without being an object of utility
purpose,цель,the building is no longer needed for its original purpose
falon,уголовник,No he was six-foot-four and looked like a felon.
cuff,браслет,I need you to tell them it's okay to take off this cuff.
rust,ржавчина,paint protects your car from rust
ashtray,пепельница,My mouth tastes like a pub ashtray.
outfit,снаряжение,I think your outfit is the most beautiful thing.
offend,обидеть,I will never offend other person because I understand what he feels.
@,@,@
advantage,преимущество,War is not to be avoided but is only to be put off to the advantage of others
sanity,здравомыслие,I began to doubt my own sanity
insane,безумный,I know what I did was insane.
fascinate,очаровывать,I've always been fascinated by other cultures
concern,беспокоить,you must not concern yourself about me
edge,край,a knife with a razor-sharp edge
rash,сыпь,Symptoms include fever and rash usually lasting several days.
fever,жар,I would take aspirin to help me with the pain and reduce the fever
squid,кальмар,Seafood all including squid and shrimp have strong allergenic properties.
@,@,@
fare,плата за проезд,get out there and earn out boat fare
deceive,обманывать,I didn't intend to deceive people into thinking it was French champagne
grease,жир,the kitchen walls were black with grease and filth
presumptuous,самонадеянный,I hope I won't be considered presumptuous if I offer some advice
swirl,завихрение,the smoke was swirling around him
whirl,кружение,leaves whirled in eddies of wind
daze,ошеломлять,he was walking around in a daze
truncheon,дубинка,I wouldn't know one end of a truncheon from another.
investigation,расследоваание,The epidemiological investigation suggests a single source.
@,@,@
stain,пятно,her clothing was stained with blood
subdue,подчинять,I would keep walking back&forth until I had subdued that fear&terror.
belt,ремень,put on your seat belts we gonna have some fun here.
lowdown,подноготная,I know the neighbourhood real well so... if you want the lowdown on stores and things like that...
poke,тыкать,don't forget to poke holes in the dough to allow steam to escape
dough,тесто,don't forget to poke holes in the dough to allow steam to escape
apparently,очевидно,The anti-corruption mechanisms were apparently not effective.
rafter,стропила,misojenystic spirit take girls and strings them up in the rafters.
cellar,подвал,the servants led us down into a cellar
sincere,искренне, she'd sounded sincere ehough
@,@,@
foreign,иностранній,to traffic in humans whith those foreign ships
irrefutable,неопровержимій,this girl and this book are irrefutable evidense
anxiously,тревожно,they listened anxiously to the radio for more information
bare,оголенный,a bare cell with just a mattress
blunder,грубая ошибка,she stopped finally aware of the terrible blunder she had made
carpet,ковер,the floor was covered with carpet
chiefly,в основном,an audience consisting chiefly of women between the ages of 18 and 54
chin,подбородок,gray stubble covered his cheeks and chin
coast,побережье,the west coast of Africa
coat,пальто,a laboratory coat
conclusion,заключение,each research group came to a similar conclusion
currant,смородина,However you can preserve currants make jam or just freeze berries
curtain,занавес,through the curtain of falling snow she could just make out gravestones
custard,заварной крем,No no I want it with custard not whipped cream
delight,восторг,the little girls squealed with delight
desperate,отчаятся,the government is desperate to clean up Rio's streets
devote,посвящять,I wanted to devote more time to my family
doze,дремать,I think I'll have a doze he said closing his eyes
fairly,вполне,They actually have done fairly well.
glove,перчатка,He gave me my first baseball glove.
grin,ухмылка,“OK” he said with a grin
heap,куча,her clothes lay in a heap on the floor
knob,ручка,There was a separate knob for the radio alarm.
leather,кожа,Sting never wears leather clothes and there's no leather furniture in his home.
lit,зажечь,You lit a candle of truth to dispel the darkness
meadow,луг,a meadow ready for cutting
mutter,бормотать,when he disappeared people began to mutter
narrow,узкий,a narrow channel connecting two larger areas of water.
@,@,@
